Key,Russian,English,German,Estonian,French,Polish,Turkish,ChineseSimplified
Worker.DictionaryAutoFillSuccess,Автозаполнение словаря '{0}' успешно завершено.,Dictionary '{0}' autofill completed successfully.,Wörterbuch „{0}“ erfolgreich automatisch ausgefüllt.,Sõnastiku „{0}“ automaatne täitmine edukalt lõpetatud.,Remplissage automatique du dictionnaire „{0}“ terminé avec succès.,Autouzupełnianie słownika „{0}” zakończone pomyślnie.,„{0}“ sözlüğü otomatik doldurma başarıyla tamamlandı.,词典“{0}”自动填充成功完成。
Worker.ErrorSavingWords,Произошла ошибка при сохранении слов.,An error occurred while saving words.,Beim Speichern der Wörter ist ein Fehler aufgetreten.,Sõnade salvestamisel ilmnes viga.,Une erreur s'est produite lors de l'enregistrement des mots.,Wystąpił błąd podczas zapisywania słów.,Kelimeler kaydedilirken bir hata oluştu.,保存单词时发生错误。
Worker.LearningModeChangedToBinary,Режим обучения изменён на бинарный,Learning mode changed to binary,Lernmodus auf binär geändert,Õpperežiim muudetud binaarseks,Mode d'apprentissage changé en binaire,Tryb nauki zmieniony na binarny,Öğrenme modu ikili olarak değiştirildi,学习模式已更改为二进制
Worker.AlreadyUsingBinaryLearningMode,Вы уже используете бинарный режим обучения,You are already using binary learning mode,Sie verwenden bereits den binären Lernmodus,Kasutate juba binaarset õpperežiimi,Vous utilisez déjà le mode d'apprentissage binaire,Już używasz binarnego trybu nauki,Zaten ikili öğrenme modunu kullanıyorsunuz,您已在使用二进制学习模式
Worker.LearningModeChangedToMultipleChoice,Режим обучения изменён на множественный выбор,Learning mode changed to multiple choice,Lernmodus auf Multiple-Choice geändert,Õpperežiim muudetud valikvastustega,Mode d'apprentissage changé en choix multiple,Tryb nauki zmieniony na wielokrotny wybór,Öğrenme modu çoktan seçmeli olarak değiştirildi,学习模式已更改为多项选择
Worker.AlreadyUsingMultipleChoiceLearningMode,Вы уже используете режим множественного выбора,You are already using multiple choice learning mode,Sie verwenden bereits den Multiple-Choice-Lernmodus,Kasutate juba valikvastustega õpperežiimi,Vous utilisez déjà le mode d'apprentissage à choix multiples,Już używasz trybu nauki wielokrotnego wyboru,Zaten çoktan seçmeli öğrenme modunu kullanıyorsunuz,您已在使用多项选择学习模式
Worker.RemindersEnabled,Напоминания включены.,Reminders enabled.,Erinnerungen aktiviert.,Meeldetuletused on sisse lülitatud.,Rappels activés.,Przypomnienia włączone.,Hatırlatmalar açıldı.,已启用提醒。
Worker.RemindersDisabled,Напоминания отключены.,Reminders disabled.,Erinnerungen deaktiviert.,Meeldetuletused on välja lülitatud.,Rappels désactivés.,Przypomnienia wyłączone.,Hatırlatmalar kapatıldı.,已禁用提醒。
Worker.ConfirmDictionaryDeletion,Удалить словарь? Слова будут удалены полностью.,Delete dictionary? Words will be completely removed.,Wörterbuch löschen? Wörter werden vollständig entfernt.,Kustuta sõnastik? Sõnad eemaldatakse täielikult.,Supprimer le dictionnaire ? Les mots seront complètement supprimés.,Usunąć słownik? Słowa zostaną całkowicie usunięte.,Sözlüğü silmek mi? Kelimeler tamamen kaldırılacak.,删除词典？单词将完全删除。
Worker.ConfirmDictionaryDeletionMoveToDefault,Удалить словарь? Слова будут перенесены в общий.,Delete dictionary? Words will be moved to the general dictionary.,Wörterbuch löschen? Wörter werden in das allgemeine Wörterbuch verschoben.,Kustuta sõnastik? Sõnad teisaldatakse üldisesse sõnastikku.,Supprimer le dictionnaire ? Les mots seront déplacés vers le dictionnaire général.,Usunąć słownik? Słowa zostaną przeniesione do ogólnego słownika.,Sözlüğü silmek mi? Kelimeler genel sözlüğe taşınacak.,删除词典？单词将移动到通用词典。
Worker.ButtonYes,Да,Yes,Ja,Jah,Oui,Tak,Evet,是
Worker.ButtonNo,Нет,No,Nein,Ei,Non,Nie,Hayır,不
Worker.InvalidIdentifier,Некорректный идентификатор,Invalid identifier,Ungültiger Bezeichner,Kehtetu identifikaator,Identifiant invalide,Nieprawidłowy identyfikator,Geçersiz kimlik,无效标识符
Worker.UserNotFound,Пользователь не найден,User not found,Benutzer nicht gefunden,Kasutajat ei leitud,Utilisateur introuvable,Użytkownik nie znaleziony,Kullanıcı bulunamadı,未找到用户
Worker.DictionaryNotFound,Словарь не найден,Dictionary not found,Wörterbuch nicht gefunden,Sõnastikku ei leitud,Dictionnaire introuvable,Słownik nie znaleziony,Sözlük bulunamadı,未找到词典
Worker.CannotDeleteDefaultDictionary,Нельзя удалить общий словарь,Cannot delete the default dictionary,Standardwörterbuch kann nicht gelöscht werden,Vaikesõnastikku ei saa kustutada,Impossible de supprimer le dictionnaire par défaut,Nie można usunąć domyślnego słownika,Varsayılan sözlük silinemez,无法删除默认词典
Worker.WelcomeMessage,"Привет, я ","Hi, I'm ","Hallo, ich bin ","Tere, mina olen ","Salut, je suis ","Cześć, jestem ","Merhaba, ben ","你好，我是 "
Worker.WhatLanguageToLearn,Какой язык хотите изучать?,What language do you want to learn?,Welche Sprache möchten Sie lernen?,Millist keelt soovite õppida?,Quelle langue voulez-vous apprendre ?,Który język chcesz się uczyć?,Hangi dili öğrenmek istiyorsunuz?,您想学习哪种语言？
Worker.AddLanguageFirst,Сначала добавьте язык через /addlanguage,"First, add a language via /addlanguage",Fügen Sie zuerst eine Sprache über /addlanguage hinzu,Esmalt lisage keel /addlanguage kaudu,Ajoutez d'abord une langue via /addlanguage,Najpierw dodaj język przez /addlanguage,Önce /addlanguage ile bir dil ekleyin,首先通过 /addlanguage 添加一种语言
Worker.EnterWordToRemember,Введите слово для запоминания:,Enter a word to memorize:,Geben Sie ein Wort zum Auswendiglernen ein:,Sisestage meeldejätmiseks sõna:,Entrez un mot à mémoriser :,Wprowadź słowo do zapamiętania:,Ezberlemek istediğiniz kelimeyi girin:,输入要记住的单词:
Worker.EnterLanguageName,Введите название языка:,Enter the language name:,Geben Sie den Sprachnamen ein:,Sisestage keele nimi:,Entrez le nom de la langue :,Wprowadź nazwę języka:,Dilin adını girin:,输入语言名称:
Worker.UsageRemoveLanguage,Используйте /removelanguage [код],Use /removelanguage [code],Verwenden Sie /removelanguage [Code],Kasutage /removelanguage [kood],Utilisez /removelanguage [code],Użyj /removelanguage [kod],Kullanım: /removelanguage [kod],使用 /removelanguage [代码]
Worker.LanguageListEmpty,Список пуст.,The list is empty.,Die Liste ist leer.,Nimekiri on tühi.,La liste est vide.,Lista jest pusta.,Liste boş.,列表为空。
Worker.YourLearningLanguages,Вы изучаете:\n{0},You are learning:\n{0},Sie lernen:\n{0},Te õpite:\n{0},Vous apprenez :\n{0},Uczysz się:\n{0},Öğreniyorsunuz:\n{0},您正在学习:\n{0}
Worker.ResettingData,Сброс данных...,Resetting data...,Daten werden zurückgesetzt...,Andmete lähtestamine...,Réinitialisation des données...,Resetowanie danych...,Veriler sıfırlanıyor...,正在重置数据...
Worker.Done,Готово,Done,Fertig,Valmis,Terminé,Gotowe,Bitti,完成
Worker.ExampleRemoveWord,пример: /removeword слово,example: /removeword word,Beispiel: /removeword Wort,Näide: /removeword sõna,Exemple : /removeword mot,Przykład: /removeword słowo,örnek: /removeword kelime,示例: /removeword 单词
Worker.WordXDeleted,Слово '{0}' удалено,Word '{0}' deleted,Wort „{0}“ gelöscht,Sõna „{0}“ kustutatud,Mot „{0}“ supprimé,Słowo „{0}” usunięte,„{0}“ kelimesi silindi,单词“{0}”已删除
Worker.WordXNotFound,Слово '{0}' не найдено,Word '{0}' not found,Wort „{0}“ nicht gefunden,Sõna „{0}“ ei leitud,Mot „{0}“ introuvable,Słowo „{0}” nie znaleziono,„{0}“ kelimesi bulunamadı,未找到单词“{0}”
Worker.UsageTodo,Используйте /todo Текст : Описание,Use /todo Text : Description,Verwenden Sie /todo Text : Beschreibung,Kasutage /todo Tekst : Kirjeldus,Utilisez /todo Texte : Description,Użyj /todo Tekst : Opis,Kullanım: /todo Metin : Açıklama,使用 /todo 文本 : 描述
Worker.TaskAdded,Задача добавлена,Task added,Aufgabe hinzugefügt,Ülesanne lisatud,Tâche ajoutée,Zadanie dodane,Görev eklendi,任务已添加
Worker.AccessDenied,Access denied,Access denied,Zugriff verweigert,Juurdepääs keelatud,Accès refusé,Dostęp zabroniony,Erişim reddedildi,访问被拒绝
Worker.UnknownCommand,Неизвестная команда. Используйте меню или /start.,Unknown command. Use the menu or /start.,Unbekannter Befehl. Verwenden Sie das Menü oder /start.,Tundmatu käsk. Kasutage menüüd või /start.,Commande inconnue. Utilisez le menu ou /start.,Nieznana komenda. Użyj menu lub /start.,Bilinmeyen komut. Menüyü veya /start'ı kullanın.,未知命令。请使用菜单或 /start。
Worker.ThemeCannotBeEmpty,Тема не может быть пустой.,Theme cannot be empty.,Das Thema darf nicht leer sein.,Teema ei saa olla tühi.,Le thème ne peut pas être vide.,Temat nie może być pusty.,Tema boş olamaz.,主题不能为空。
Worker.ReceivedXWordsForTheme,Получено {0} слов по теме '{1}'.\nВ какой словарь сохранить?,Received {0} words for the topic '{1}'.\nWhich dictionary to save to?,{0} Wörter zum Thema „{1}“ erhalten.\nIn welchem Wörterbuch speichern?,Saadud {0} sõna teema „{1}“ kohta.\nMillisesse sõnastikku salvestada?,Reçu {0} mots pour le sujet „{1}“.\nDans quel dictionnaire sauvegarder ?,Otrzymano {0} słów na temat „{1}”.\nDo którego słownika zapisać?,Konu '{1}' için {0} kelime alındı.\nHangi sözlüğe kaydedilsin?,收到关于主题“{1}”的 {0} 个单词。\n保存到哪个词典？
Worker.DictionaryNameCannotBeEmpty,Название словаря не может быть пустым.,Dictionary name cannot be empty.,Der Wörterbuchname darf nicht leer sein.,Sõnastiku nimi ei saa olla tühi.,Le nom du dictionnaire ne peut pas être vide.,Nazwa słownika nie może być pusta.,Sözlük adı boş olamaz.,词典名称不能为空。
Worker.DictionaryXCreated,Словарь '{0}' успешно создан.,Dictionary '{0}' created successfully.,Wörterbuch „{0}“ erfolgreich erstellt.,Sõnastik „{0}“ edukalt loodud.,Dictionnaire „{0}“ créé avec succès.,Słownik „{0}” został pomyślnie utworzony.,„{0}“ sözlüğü başarıyla oluşturuldu.,词典“{0}”已成功创建。
Worker.Add20WordsToDictionaryConfirmation,Добавить автоматически 20 слов по теме {0}?,Automatically add 20 words on the topic {0}?,Automatisch 20 Wörter zum Thema {0} hinzufügen?,Lisada automaatselt 20 sõna teema {0} kohta?,Ajouter automatiquement 20 mots sur le sujet {0} ?,Automatycznie dodać 20 słów na temat {0}?,Konu {0} ile ilgili 20 kelimeyi otomatik olarak eklemek ister misiniz?,是否自动添加关于主题 {0} 的 20 个单词？
Worker.NoWordsInLanguage,❌ У вас нет добавленных языков.,❌ You have no added languages.,❌ Sie haben keine Sprachen hinzugefügt.,❌ Teil pole lisatud keeli.,❌ Vous n'avez pas de langues ajoutées.,❌ Nie masz dodanych języków.,❌ Eklenmiş diliniz yok.,❌ 您没有添加任何语言。
Worker.NoWordsHeader,{0}\nНет слов.,{0}\nNo words.,{0}\nKeine Wörter.,{0}\nSõnu pole.,{0}\nPas de mots.,{0}\nBrak słów.,{0}\nKelime yok.,{0}\n没有单词。
Worker.NavigateWordsWithButtons,{0}\nИспользуйте кнопки «⬅️» и «➡️» для навигации.,{0}\nUse the «⬅️» and «➡️» buttons to navigate.,{0}\nVerwenden Sie die Schaltflächen „⬅️“ und „➡️“ zum Navigieren.,{0}\nKasutage navigeerimiseks nuppe „⬅️“ ja „➡️“.,{0}\nUtilisez les boutons «⬅️» et «➡️» pour naviguer.,{0}\nUżyj przycisków „⬅️” i „➡️” do nawigacji.,{0}\nNavigasyon için „⬅️” ve „➡️” düğmelerini kullanın.,{0}\n使用“⬅️”和“➡️”按钮进行导航。
Worker.NoWordsToList,❌ Нет слов.,❌ No words.,❌ Keine Wörter.,❌ Sõnu pole.,❌ Pas de mots.,❌ Brak słów.,❌ Kelime yok.,❌ 没有单词。
Worker.PageXofY,=== Стр. {0}/{1} ===,=== Page {0}/{1} ===,=== Seite {0}/{1} ===,=== Lk {0}/{1} ===,=== Page {0}/{1} ===,=== Strona {0}/{1} ===,=== Sayfa {0}/{1} ===,=== 第 {0}/{1} 页 ===
Worker.EnterWordNumbersToDelete,Введите номера слов для удаления через пробел:,Enter word numbers to delete, separated by spaces:,Geben Sie die zu löschenden Wortnummern durch Leerzeichen getrennt ein:,Sisestage kustutatavate sõnade numbrid tühikutega eraldatult:,Entrez les numéros de mots à supprimer, séparés par des espaces :,Wprowadź numery słów do usunięcia, oddzielone spacjami:,Silmek için kelime numaralarını boşluklarla ayırarak girin:,输入要删除的单词编号，用空格分隔:
Worker.NumbersNotRecognized,Не распознаны номера,Numbers not recognized,Nummern nicht erkannt,Numbreid ei tuvastatud,Numéros non reconnus,Numery nierozpoznane,Numaralar tanınmadı,号码未识别
Worker.WordsDeletedCount,Удалено слов: {0},Words deleted: {0},Gelöschte Wörter: {0},Kustutatud sõnu: {0},Mots supprimés : {0},Usunięto słów: {0},Silinen kelime sayısı: {0},已删除单词数: {0}
Worker.ErrorTelegramAPI,Telegram API Error: {0},Telegram API Error: {0},Telegram API Fehler: {0},Telegram API viga: {0},Erreur de l'API Telegram : {0},Błąd API Telegram: {0},Telegram API Hatası: {0},Telegram API 错误: {0}
Worker.ErrorProcessingUpdate,Ошибка обработки обновления,Error processing update,Fehler bei der Aktualisierungsverarbeitung,Viga värskenduse töötlemisel,Erreur de traitement de la mise à jour,Błąd przetwarzania aktualizacji,Güncelleme işlenirken hata oluştu,处理更新时出错
Worker.WordToSaveNotFound,Не найдено слово для сохранения,Word to save not found,Zu speicherndes Wort nicht gefunden,Salvestatavat sõna ei leitud,Mot à enregistrer introuvable,Nie znaleziono słowa do zapisania,Kaydedilecek kelime bulunamadı,未找到要保存的单词
Worker.WordAdded,Добавлено «{0}»,Added «{0}»,Hinzugefügt „{0}“,Lisatud „{0}“,Ajouté «{0}»,Dodano „{0}”,Eklendi «{0}»,已添加“{0}”
Worker.ErrorLoadingWord,Ошибка при загрузке слова,Error loading word,Fehler beim Laden des Wortes,Sõna laadimisel ilmnes viga,Erreur lors du chargement du mot,Błąd podczas ładowania słowa,Kelime yüklenirken hata oluştu,加载单词时出错
Worker.ErrorAiTranslation,Ошибка AI-перевода,AI translation error,KI-Übersetzungsfehler,AI-tõlke viga,Erreur de traduction IA,Błąd tłumaczenia AI,AI çeviri hatası,AI 翻译错误
Worker.EditTranslationsPrompt,Редактируйте переводы:,Edit translations:,Übersetzungen bearbeiten:,Redigeeri tõlkeid:,Modifiez les traductions :,Edytuj tłumaczenia:,Çevirileri düzenle:,编辑翻译:
Worker.EditExamplesPrompt,Редактируйте примеры:,Edit examples:,Beispiele bearbeiten:,Redigeeri näiteid:,Modifiez les exemples :,Edytuj przykłady:,Örnekleri düzenle:,编辑示例:
Worker.WordUpdated,Обновлено «{0}»,Updated «{0}»,Aktualisiert „{0}“,Uuendatud „{0}“,Mis à jour «{0}»,Zaktualizowano „{0}”,Güncellendi «{0}»,已更新“{0}”
Worker.EmptyQuery,Пустой запрос,Empty query,Leere Abfrage,Tühi päring,Requête vide,Puste zapytanie,Boş sorgu,空查询
Worker.NothingFound,Ничего не найдено,Nothing found,Nichts gefunden,Midagi ei leitud,Rien trouvé,Nic nie znaleziono,Hiçbir şey bulunamadı,未找到任何内容
Worker.SelectWordPrompt,Выберите слово:,Select a word:,Wählen Sie ein Wort:,Valige sõna:,Sélectionnez un mot :,Wybierz słowo:,Bir kelime seçin:,选择一个单词:
Worker.InvalidLanguageId,Неверный идентификатор языка.,Invalid language ID.,Ungültige Sprach-ID.,Kehtetu keele ID.,ID de langue invalide.,Nieprawidłowy identyfikator języka.,Geçersiz dil kimliği.,无效的语言ID。
Worker.LanguageNotOnYourList,Этот язык не найден в вашем списке.,This language is not found in your list.,Diese Sprache wurde in Ihrer Liste nicht gefunden.,Seda keelt teie loendist ei leitud.,Cette langue n'est pas trouvée dans votre liste.,Tego języka nie ma na Twojej liście.,Bu dil listenizde bulunamadı.,此语言不在您的列表中。
Worker.CurrentLanguageSwitched,Текущий язык переключён на «{0}».,Current language switched to «{0}».,Aktuelle Sprache auf „{0}“ umgeschaltet.,Praegune keel lülitatud keelele „{0}“.,Langue actuelle passée à «{0}».,Bieżący język został przełączony na „{0}”.,Mevcut dil «{0}» olarak değiştirildi.,当前语言已切换到“{0}”。
Worker.LanguageChangedSuccessfully,Язык успешно изменён.,Language changed successfully.,Sprache erfolgreich geändert.,Keele muutmine õnnestus.,Langue changée avec succès.,Język zmieniony pomyślnie.,Dil başarıyla değiştirildi.,语言已成功更改。
Worker.NoLanguagesToSwitch,У вас ещё нет ни одного изучаемого языка.,You don't have any languages to study yet.,Sie haben noch keine Sprachen zum Lernen.,Teil pole veel ühtegi õpitavat keelt.,Vous n'avez pas encore de langues à étudier.,Nie masz jeszcze żadnych języków do nauki.,Henüz çalışmak için herhangi bir diliniz yok.,您还没有任何要学习的语言。
Worker.SelectCurrentLanguagePrompt,"Выберите язык, который хотите сделать текущим:",Select the language you want to make current:,Wählen Sie die Sprache, die Sie zur aktuellen Sprache machen möchten:,Valige keel, mille soovite praeguseks teha:,Sélectionnez la langue que vous souhaitez définir comme langue actuelle :,Wybierz język, który chcesz ustawić jako bieżący:,Mevcut yapmak istediğiniz dili seçin:,选择您要设为当前语言的语言:
Worker.CorrectAnswer,Верно! {0} = {1},Correct! {0} = {1},Richtig! {0} = {1},Õige! {0} = {1},Correct ! {0} = {1},Poprawnie! {0} = {1},Doğru! {0} = {1},正确！{0} = {1}
Worker.IncorrectAnswer,Неправильно! {0} = {1},Incorrect! {0} = {1},Falsch! {0} = {1},Vale! {0} = {1},Incorrect ! {0} = {1},Niepoprawnie! {0} = {1},Yanlış! {0} = {1},不正确！{0} = {1}
Worker.WordMarkedAsLearned,«{0}» помечено как выученное,«{0}» marked as learned,„{0}“ als gelernt markiert,„{0}“ märgitud õpituks,«{0}» marqué comme appris,„{0}” oznaczono jako nauczone,„{0}“ öğrenilmiş olarak işaretlendi, “{0}” 已标记为已学习
Worker.NothingToRepeat,Нечего повторять. Можешь добавить новые слова,Nothing to repeat. You can add new words,Nichts zu wiederholen. Sie können neue Wörter hinzufügen,Midagi pole korrata. Saate lisada uusi sõnu,Rien à répéter. Vous pouvez ajouter de nouveaux mots,Nic do powtarzania. Możesz dodać nowe słowa,Tekrar edilecek bir şey yok. Yeni kelimeler ekleyebilirsiniz,没什么可重复的了。你可以添加新单词
Worker.ChooseCorrectTranslationFor,Выберите правильный перевод для слова:,Choose the correct translation for the word:,Wählen Sie die richtige Übersetzung für das Wort:,Valige sõna jaoks õige tõlge:,Choisissez la bonne traduction pour le mot :,Wybierz poprawne tłumaczenie dla słowa:,Kelime için doğru çeviriyi seçin:,选择单词的正确翻译:
Worker.TranslateWordPrompt,Переведите слово,Translate the word,Übersetzen Sie das Wort,Tõlgi sõna,Traduisez le mot,Przetłumacz słowo,Kelimeyi çevir,翻译单词
Worker.LanguageXNotFound,Язык {0} не найден,Language {0} not found,Sprache {0} nicht gefunden,Keele {0} ei leitud,Langue {0} introuvable,Język {0} nie znaleziony,Dil {0} bulunamadı,未找到语言 {0}
Worker.LanguageXRemoved,Язык {0} удалён,Language {0} removed,Sprache {0} entfernt,Keele {0} eemaldatud,Langue {0} supprimée,Język {0} usunięty,Dil {0} kaldırıldı,语言 {0} 已删除
Worker.LanguagesNotSetup,Языки не настроены,Languages are not set up,Sprachen sind nicht eingerichtet,Keeled pole seadistatud,Les langues ne sont pas configurées,Języki nie są skonfigurowane,Diller ayarlanmadı,语言未设置
Worker.CouldNotDetectLanguage,Не удалось определить язык слова,Could not determine the language of the word,Die Sprache des Wortes konnte nicht ermittelt werden,Sõna keelt ei õnnestunud tuvastada,Impossible de déterminer la langue du mot,Nie udało się wykryć języka słowa,Kelimenin dili belirlenemedi,无法检测到单词的语言
Worker.LanguageXNotInDb,Язык '{0}' не в базе,Language '{0}' is not in the database,Sprache „{0}“ nicht in der Datenbank,Keele „{0}“ pole andmebaasis,La langue „{0}“ n'est pas dans la base de données,Język „{0}” nie znajduje się w bazie danych,Dil '{0}' veritabanında yok,语言“{0}”不在数据库中
Worker.WordAlreadyInYourDictionary,«{0}» уже есть в вашем словаре.,«{0}» is already in your dictionary.,„{0}“ ist bereits in Ihrem Wörterbuch.,„{0}“ on juba teie sõnastikus.,«{0}» est déjà dans votre dictionnaire.,„{0}” jest już w Twoim słowniku.,„{0}“ zaten sözlüğünüzde.,“{0}” 已在您的词典中。
Worker.WordXAddedToDefaultDictionary,«{0} - {1}» добавлено в ваш общий словарь.,«{0} - {1}» added to your general dictionary.,„{0} - {1}“ zu Ihrem allgemeinen Wörterbuch hinzugefügt.,„{0} - {1}“ lisatud teie üldisesse sõnastikku.,«{0} - {1}» ajouté à votre dictionnaire général.,„{0} - {1}” dodano do Twojego ogólnego słownika.,„{0} - {1}“ genel sözlüğünüze eklendi.,“{0} - {1}” 已添加到您的通用词典。
Worker.ChooseTranslationsPrompt,Выберите перевод(ы):,Select translation(s):,Wählen Sie die Übersetzung(en) aus:,Valige tõlke(d):,Sélectionnez la ou les traductions :,Wybierz tłumaczenie(a):,Çeviri(ler)i seçin:,选择翻译:
